file_name,name,name_readable
131576.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
131589.jpg,caprese-salad-tomato-mozzarella,Caprese salad (Tomato Mozzarella)
131590.jpg,wine-red,"Wine, red"
131673.jpg,pasta-ravioli-stuffing,"Pasta, ravioli, stuffing"
131681.jpg,omelette-plain,"Omelette, plain"
131690.jpg,dark-chocolate,Dark chocolate
131696.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
131696.jpg,cucumber,Cucumber
131696.jpg,french-salad-dressing,French salad dressing
131716.jpg,mixed-vegetables,Mixed vegetables
131739.jpg,bread-white,"Bread, white"
131743.jpg,kaki,Kaki
131758.jpg,macaroon,Macaroon
131783.jpg,tomato-raw,"Tomato, raw "
131784.jpg,carrot-raw,"Carrot, raw"
131790.jpg,bread-white,"Bread, white"
131793.jpg,crepe-plain,"Crêpe, plain"
131793.jpg,jam,Jam
131803.jpg,chicken-nuggets,Chicken nuggets
131807.jpg,egg,Egg
131807.jpg,broccoli,Broccoli
131815.jpg,wine-red,"Wine, red"
131860.jpg,cucumber,Cucumber
131864.jpg,soup-pumpkin,"Soup, pumpkin"
131866.jpg,sushi,Sushi
131889.jpg,bread-white,"Bread, white"
131907.jpg,apple,Apple
131908.jpg,chestnuts,Chestnuts
131940.jpg,sushi,Sushi
131940.jpg,sauce-soya,"Sauce, soya"
131973.jpg,chinese-cabbage,Chinese cabbage
131973.jpg,sausage,Sausage
131978.jpg,coffee-with-caffeine,"Coffee, with caffeine"
132017.jpg,tea-green,"Tea, green"
132033.jpg,mixed-vegetables,Mixed vegetables
132034.jpg,bread-whole-wheat,"Bread, whole wheat"
132034.jpg,eggplant,Eggplant
132034.jpg,cucumber,Cucumber
132034.jpg,cheese,Cheese
132034.jpg,tomato-raw,"Tomato, raw "
132034.jpg,onion,Onion
132034.jpg,garlic,Garlic
132034.jpg,hummus,Hummus
132044.jpg,soup-cream-of-vegetables,"Soup, cream of vegetables"
132047.jpg,pizza-with-vegetables-baked,"Pizza, with vegetables, baked"
132047.jpg,salmon-smoked,"Salmon, smoked"
132047.jpg,black-olives,Black olives
132066.jpg,mixed-vegetables,Mixed vegetables
132099.jpg,pizza-margherita-baked,"Pizza, Margherita, baked"
132099.jpg,salad-lambs-ear,"Salad, lambs' ear"
132121.jpg,glucose-drink-50g,Glucose drink 50g
132122.jpg,bread-white,"Bread, white"
132122.jpg,butter,Butter
132123.jpg,bread-wholemeal,"Bread, wholemeal"
132123.jpg,jam,Jam
132127.jpg,egg,Egg
132172.jpg,banana,Banana
132195.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
132195.jpg,carrot-raw,"Carrot, raw"
132195.jpg,mozzarella,Mozzarella
132195.jpg,tomato-raw,"Tomato, raw "
132199.jpg,pasta,Pasta
132199.jpg,cauliflower,Cauliflower
132200.jpg,quiche-with-spinach-baked-with-cake-dough,"Quiche, with spinach, baked, with cake dough"
132200.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
132200.jpg,cucumber,Cucumber
132201.jpg,quiche-with-spinach-baked-with-cake-dough,"Quiche, with spinach, baked, with cake dough"
132209.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
132209.jpg,green-olives,Green olives
132209.jpg,bell-pepper-red-raw,"Bell pepper, red, raw "
132209.jpg,cucumber,Cucumber
132209.jpg,french-salad-dressing,French salad dressing
132211.jpg,rice,Rice
132215.jpg,brazil-nut,Brazil nut
132221.jpg,bread-pita,"Bread, pita"
132223.jpg,pasta-wholemeal,"Pasta, wholemeal"
132226.jpg,apple,Apple
132227.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
132237.jpg,egg,Egg
132237.jpg,tomato-raw,"Tomato, raw "
132281.jpg,caprese-salad-tomato-mozzarella,Caprese salad (Tomato Mozzarella)
132290.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
132290.jpg,tomato-raw,"Tomato, raw "
132290.jpg,french-salad-dressing,French salad dressing
132291.jpg,bread-whole-wheat,"Bread, whole wheat"
132291.jpg,soup-of-lentils-dahl-dhal,"Soup of lentils, Dahl (Dhal)"
132307.jpg,prosecco,Prosecco
132310.jpg,wine-red,"Wine, red"
132313.jpg,bread-toast,"Bread, toast"
132325.jpg,bread-wholemeal,"Bread, wholemeal"
132327.jpg,green-olives,Green olives
132327.jpg,garlic,Garlic
132337.jpg,pasta-penne,"Pasta, penne"
132337.jpg,salmon,Salmon
132337.jpg,hard-cheese,Hard cheese
132338.jpg,panna-cotta,Panna cotta
132365.jpg,wine-red,"Wine, red"
132374.jpg,coffee-with-caffeine,"Coffee, with caffeine"
132379.jpg,bread-white,"Bread, white"
132382.jpg,water-with-lemon-juice,Water with lemon juice
132384.jpg,espresso-with-caffeine,"Espresso, with caffeine"
132400.jpg,egg-scrambled-prepared,"Egg, scrambled, prepared"
132408.jpg,juice-orange,"Juice, orange"
132408.jpg,ice-cubes,Ice cubes
132410.jpg,water,Water
132411.jpg,braided-white-loaf,Braided white loaf
132411.jpg,butter,Butter
132411.jpg,jam,Jam
132413.jpg,kaki,Kaki
132414.jpg,hard-cheese,Hard cheese
132415.jpg,soft-cheese,Soft cheese
132415.jpg,emmental-cheese,Emmental cheese
132415.jpg,hard-cheese,Hard cheese
132423.jpg,braided-white-loaf,Braided white loaf
132423.jpg,hazelnut-chocolate-spread-nutella-ovomaltine-caotina,"Hazelnut-chocolate spread(Nutella, Ovomaltine, Caotina)"
132427.jpg,bread-wholemeal,"Bread, wholemeal"
132427.jpg,tomato-raw,"Tomato, raw "
132427.jpg,onion,Onion
132427.jpg,salmon-smoked,"Salmon, smoked"
132427.jpg,butter,Butter
132440.jpg,coffee-with-caffeine,"Coffee, with caffeine"
132453.jpg,water-mineral,"Water, mineral"
132457.jpg,quiche-with-cheese-baked-with-puff-pastry,"Quiche, with cheese, baked, with puff pastry"
132463.jpg,wine-red,"Wine, red"
132470.jpg,coffee-with-caffeine,"Coffee, with caffeine"
132471.jpg,bread-sourdough,"Bread, sourdough"
132471.jpg,hazelnut,Hazelnut
132477.jpg,ham-raw,"Ham, raw"
132479.jpg,bread-nut,"Bread, nut"
132489.jpg,bread-toast,"Bread, toast"
132500.jpg,soup-miso,"Soup, Miso"
132503.jpg,coffee-with-caffeine,"Coffee, with caffeine"
132504.jpg,soup-pumpkin,"Soup, pumpkin"
132512.jpg,bread-wholemeal,"Bread, wholemeal"
132512.jpg,tomato-raw,"Tomato, raw "
132512.jpg,cottage-cheese,Cottage cheese
132512.jpg,zucchini,Zucchini
132512.jpg,hummus,Hummus
132539.jpg,wine-red,"Wine, red"
132544.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
132544.jpg,carrot-raw,"Carrot, raw"
132544.jpg,zucchini,Zucchini
132544.jpg,bread-wholemeal,"Bread, wholemeal"
132545.jpg,curry-vegetarian,"Curry, vegetarian"
132545.jpg,rice-basmati,"Rice, Basmati"
132548.jpg,bread-toast,"Bread, toast"
132548.jpg,carrot-raw,"Carrot, raw"
132548.jpg,bacon-frying,"Bacon, frying"
132551.jpg,carrot-raw,"Carrot, raw"
132551.jpg,bread-toast,"Bread, toast"
132555.jpg,potatoes-steamed,Potatoes steamed
132555.jpg,sausage,Sausage
132555.jpg,mashed-potatoes-prepared-with-full-fat-milk-with-butter,"Mashed potatoes, prepared, with full fat milk, with butter"
132605.jpg,spinach-raw,"Spinach, raw"
132605.jpg,naan-indien-bread,Naan (indien bread)
132605.jpg,cream-spinach,Cream spinach
132605.jpg,halloumi,Halloumi
132605.jpg,chicken-curry-cream-coconut-milk-curry-spices-paste,Chicken curry (cream/coconut milk. curry spices/paste))
132611.jpg,sausage,Sausage
132611.jpg,sauce-cream,"Sauce, cream"
132611.jpg,broccoli,Broccoli
132614.jpg,water,Water
132634.jpg,bread-french-white-flour,"Bread, French (white flour)"
132676.jpg,bread-wholemeal,"Bread, wholemeal"
132676.jpg,egg,Egg
132680.jpg,banana,Banana
132680.jpg,tomme,Tomme
132692.jpg,vegetable-mix-peas-and-carrots,"Vegetable mix, peas and carrots"
132692.jpg,sauce-cream,"Sauce, cream"
132702.jpg,potatoes-steamed,Potatoes steamed
132702.jpg,butter,Butter
132702.jpg,parsley,Parsley
132705.jpg,green-olives,Green olives
132716.jpg,brownie,Brownie
132718.jpg,kaki,Kaki
132722.jpg,ham-raw,"Ham, raw"
132722.jpg,salami,Salami
132722.jpg,bread-wholemeal,"Bread, wholemeal"
132722.jpg,cheese,Cheese
132751.jpg,dairy-ice-cream,Dairy ice cream
132757.jpg,mandarine,Mandarine
132764.jpg,carrot-cake,Carrot cake
132769.jpg,wine-red,"Wine, red"
132776.jpg,soup-pumpkin,"Soup, pumpkin"
132779.jpg,bread-wholemeal,"Bread, wholemeal"
132779.jpg,beetroot-steamed-without-addition-of-salt,"Beetroot, steamed, without addition of salt"
132779.jpg,salad-dressing,Salad dressing
132786.jpg,dried-meat,Dried meat
132789.jpg,water-with-lemon-juice,Water with lemon juice
132792.jpg,mixed-salad-chopped-without-sauce,Mixed salad (chopped without sauce)
132792.jpg,quiche-with-spinach-baked-with-cake-dough,"Quiche, with spinach, baked, with cake dough"
132792.jpg,feta,Feta
132813.jpg,bread,Bread
132813.jpg,chickpeas,Chickpeas
132822.jpg,dairy-ice-cream,Dairy ice cream
132830.jpg,salmon,Salmon
132830.jpg,oil,Oil
132883.jpg,espresso-with-caffeine,"Espresso, with caffeine"
132886.jpg,bread-wholemeal,"Bread, wholemeal"
132886.jpg,jam,Jam
132909.jpg,water-with-lemon-juice,Water with lemon juice
132917.jpg,egg,Egg
132917.jpg,wine-red,"Wine, red"
132917.jpg,potato-salad-with-mayonnaise-yogurt-dressing,"Potato salad, with mayonnaise yogurt dressing"
132927.jpg,coffee-with-caffeine,"Coffee, with caffeine"
132931.jpg,ham,Ham
132935.jpg,cucumber,Cucumber
132935.jpg,tomato-raw,"Tomato, raw "
132935.jpg,balsamic-salad-dressing,Balsamic salad dressing
132936.jpg,romanesco,Romanesco
132936.jpg,kolhrabi,Kolhrabi
132937.jpg,alfa-sprouts,Alfa sprouts
132940.jpg,brussel-sprouts,Brussel sprouts
132940.jpg,bacon-cooking,"Bacon, cooking"
132948.jpg,bulgur,Bulgur
132948.jpg,pumpkin,Pumpkin
132979.jpg,tea-black,"Tea, black"
132983.jpg,tea,Tea
132991.jpg,kiwi,Kiwi
132994.jpg,mandarine,Mandarine
132997.jpg,tomato-sauce,Tomato sauce
132997.jpg,vegetable-mix-peas-and-carrots,"Vegetable mix, peas and carrots"
132998.jpg,bread,Bread
133017.jpg,soup-miso,"Soup, Miso"
133031.jpg,pasta,Pasta
133031.jpg,feta,Feta
133031.jpg,green-olives,Green olives
133038.jpg,chocolate-egg-small,"Chocolate egg, small"
133070.jpg,cappuccino,Cappuccino
133085.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133085.jpg,tomato-raw,"Tomato, raw "
133087.jpg,chicken-wing,"Chicken, wing"
133087.jpg,zucchini-stewed-without-addition-of-fat-without-addition-of-salt,"Zucchini, stewed, without addition of fat, without addition of salt"
133087.jpg,tomato-raw,"Tomato, raw "
133107.jpg,apple,Apple
133136.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133136.jpg,balsamic-salad-dressing,Balsamic salad dressing
133145.jpg,banana,Banana
133178.jpg,bread-wholemeal,"Bread, wholemeal"
133179.jpg,gruyere,Gruyère
133194.jpg,vegetable-mix-peas-and-carrots,"Vegetable mix, peas and carrots"
133212.jpg,bread-black,"Bread, black"
133212.jpg,hard-cheese,Hard cheese
133212.jpg,cottage-cheese,Cottage cheese
133212.jpg,egg-scrambled-prepared,"Egg, scrambled, prepared"
133212.jpg,cucumber-pickled,"Cucumber, pickled "
133212.jpg,ham,Ham
133212.jpg,carrot-raw,"Carrot, raw"
133224.jpg,bread-black,"Bread, black"
133224.jpg,black-olives,Black olives
133224.jpg,cucumber-pickled,"Cucumber, pickled "
133224.jpg,tomato-raw,"Tomato, raw "
133224.jpg,fresh-cheese,Fresh cheese
133227.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133233.jpg,ham,Ham
133245.jpg,mango,Mango
133245.jpg,carrot-raw,"Carrot, raw"
133317.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133317.jpg,balsamic-salad-dressing,Balsamic salad dressing
133317.jpg,spinach-steamed-without-addition-of-salt,"Spinach, steamed, without addition of salt"
133317.jpg,fish,Fish
133320.jpg,pasta,Pasta
133320.jpg,tomato-sauce,Tomato sauce
133320.jpg,sauce-cream,"Sauce, cream"
133323.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133323.jpg,feta,Feta
133323.jpg,beetroot-steamed-without-addition-of-salt,"Beetroot, steamed, without addition of salt"
133323.jpg,lentils,Lentils
133324.jpg,water,Water
133344.jpg,cappuccino,Cappuccino
133346.jpg,mandarine,Mandarine
133362.jpg,kaki,Kaki
133388.jpg,bread-french-white-flour,"Bread, French (white flour)"
133394.jpg,bread-wholemeal,"Bread, wholemeal"
133409.jpg,eggplant,Eggplant
133411.jpg,crisps,Crisps
133422.jpg,romanesco,Romanesco
133422.jpg,pork,Pork
133425.jpg,gruyere,Gruyère
133440.jpg,water,Water
133442.jpg,mixed-salad-chopped-without-sauce,Mixed salad (chopped without sauce)
133442.jpg,bread-nut,"Bread, nut"
133442.jpg,carrot-raw,"Carrot, raw"
133446.jpg,rosti,Rosti
133449.jpg,milk-chocolate-with-hazelnuts,Milk Chocolate with hazelnuts
133453.jpg,wine-red,"Wine, red"
133474.jpg,flakes-oat,"Flakes, oat"
133474.jpg,apple,Apple
133474.jpg,banana,Banana
133480.jpg,braided-white-loaf,Braided white loaf
133480.jpg,jam,Jam
133526.jpg,bread-grain,"Bread, grain"
133532.jpg,egg,Egg
133532.jpg,tuna,Tuna
133533.jpg,apple,Apple
133533.jpg,hard-cheese,Hard cheese
133542.jpg,walnut,Walnut
133561.jpg,broccoli,Broccoli
133561.jpg,ratatouille,Ratatouille
133561.jpg,egg,Egg
133564.jpg,bacon,Bacon
133586.jpg,chestnuts,Chestnuts
133593.jpg,bouillon,Bouillon
133593.jpg,butter,Butter
133600.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133600.jpg,carrot-raw,"Carrot, raw"
133600.jpg,sesame-seeds,Sesame seeds
133615.jpg,baked-potato,Baked potato
133615.jpg,fennel,Fennel
133615.jpg,beetroot-raw,"Beetroot, raw"
133615.jpg,carrot-raw,"Carrot, raw"
133615.jpg,onion,Onion
133622.jpg,zucchini-stewed-without-addition-of-fat-without-addition-of-salt,"Zucchini, stewed, without addition of fat, without addition of salt"
133622.jpg,tomato-raw,"Tomato, raw "
133622.jpg,chicken,Chicken
133633.jpg,meat,Meat
133633.jpg,ratatouille,Ratatouille
133633.jpg,cheese,Cheese
133645.jpg,coffee-with-caffeine,"Coffee, with caffeine"
133657.jpg,bread-white,"Bread, white"
133657.jpg,butter,Butter
133675.jpg,almonds,Almonds
133680.jpg,bread-white,"Bread, white"
133713.jpg,romanesco,Romanesco
133713.jpg,risotto-without-cheese-cooked,"Risotto, without cheese, cooked"
133713.jpg,sauce-roast,"Sauce, roast"
133719.jpg,coffee-with-caffeine,"Coffee, with caffeine"
133730.jpg,milk-chocolate-with-hazelnuts,Milk Chocolate with hazelnuts
133734.jpg,broccoli,Broccoli
133734.jpg,chicken,Chicken
133734.jpg,pasta,Pasta
133735.jpg,mandarine,Mandarine
133737.jpg,salmon,Salmon
133737.jpg,philadelphia,Philadelphia
133738.jpg,fish,Fish
133738.jpg,mushroom-average-stewed-without-addition-of-fat-without-addition-of-salt,"Mushroom, (average), stewed, without addition of fat, without addition of salt"
133738.jpg,bell-pepper-red-stewed-without-addition-of-fat-without-addition-of-salt,"Bell pepper, red, stewed, without addition of fat, without addition of salt"
133738.jpg,sauce-cream,"Sauce, cream"
133744.jpg,white-chocolate,White chocolate
133746.jpg,beetroot-steamed-without-addition-of-salt,"Beetroot, steamed, without addition of salt"
133770.jpg,pork-escalope,"Pork, escalope"
133770.jpg,breadcrumbs-unspiced,Breadcrumbs (unspiced)
133793.jpg,fondue,Fondue
133793.jpg,potatoes-steamed,Potatoes steamed
133796.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133796.jpg,carrot-raw,"Carrot, raw"
133796.jpg,tomato-raw,"Tomato, raw "
133797.jpg,pizza-margherita-baked,"Pizza, Margherita, baked"
133808.jpg,salad-lambs-ear,"Salad, lambs' ear"
133808.jpg,tomato-raw,"Tomato, raw "
133808.jpg,french-salad-dressing,French salad dressing
133822.jpg,pumpkin,Pumpkin
133850.jpg,bread,Bread
133850.jpg,jam,Jam
133868.jpg,jam,Jam
133868.jpg,honey,Honey
133868.jpg,butter,Butter
133868.jpg,bread-nut,"Bread, nut"
133868.jpg,bread-half-white,"Bread, half white"
133873.jpg,juice-orange,"Juice, orange"
133874.jpg,banana,Banana
133874.jpg,strawberries,Strawberries
133874.jpg,crunch-muesli,Crunch Müesli
133876.jpg,turnover-with-meat-small-meat-pie-empanadas,"Turnover with meat (small meat pie, empanadas)"
133885.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
133885.jpg,sunflower-seeds,Sunflower seeds
133914.jpg,tea-rooibos,"Tea, rooibos"
133933.jpg,pie-plum-baked-with-cake-dough,"Pie, plum, baked, with cake dough"
133937.jpg,mixed-vegetables,Mixed vegetables
133937.jpg,potatoes-au-gratin-dauphinois-prepared,"Potatoes au gratin, dauphinois, prepared"
133937.jpg,sauce-mushroom,"Sauce, mushroom"
133937.jpg,alfa-sprouts,Alfa sprouts
133951.jpg,mixed-nuts,Mixed nuts
133954.jpg,avocado,Avocado
133994.jpg,salad-lambs-ear,"Salad, lambs' ear"
133994.jpg,balsamic-salad-dressing,Balsamic salad dressing
134048.jpg,bread-wholemeal-toast,"Bread, wholemeal toast"
134048.jpg,jam,Jam
134048.jpg,butter,Butter
134048.jpg,bread-nut,"Bread, nut"
134048.jpg,honey,Honey
134059.jpg,tea-black,"Tea, black"
134066.jpg,mandarine,Mandarine
134084.jpg,dried-meat,Dried meat
134087.jpg,bread-white,"Bread, white"
134089.jpg,soup-cream-of-vegetables,"Soup, cream of vegetables"
134091.jpg,red-radish,Red radish
134093.jpg,salmon-smoked,"Salmon, smoked"
134110.jpg,omelette-plain,"Omelette, plain"
134110.jpg,spinach-steamed-without-addition-of-salt,"Spinach, steamed, without addition of salt"
134174.jpg,dumplings,Dumplings
134174.jpg,egg,Egg
134207.jpg,water,Water
134223.jpg,avocado,Avocado
134223.jpg,tomato-raw,"Tomato, raw "
134223.jpg,mozzarella,Mozzarella
134237.jpg,pasta-linguini-parpadelle-tagliatelle,"Pasta, linguini, parpadelle, Tagliatelle"
134237.jpg,chicken-cut-into-stripes-only-meat,"Chicken, cut into stripes (only meat)"
134270.jpg,espresso-with-caffeine,"Espresso, with caffeine"
134296.jpg,tomato-raw,"Tomato, raw "
134296.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
134308.jpg,crunch-muesli,Crunch Müesli
134313.jpg,broccoli,Broccoli
134313.jpg,pasta-linguini-parpadelle-tagliatelle,"Pasta, linguini, parpadelle, Tagliatelle"
134314.jpg,wine-red,"Wine, red"
134331.jpg,bouillon-vegetable,"Bouillon, vegetable"
134333.jpg,sun-dried-tomatoe,Sun-dried tomatoe
134343.jpg,apple,Apple
134344.jpg,apple,Apple
134389.jpg,bread-ticino,"Bread, Ticino"
134405.jpg,tea,Tea
134407.jpg,water,Water
134427.jpg,crunch-muesli,Crunch Müesli
134427.jpg,porridge-prepared-with-partially-skimmed-milk,"Porridge, prepared, with partially skimmed milk"
134428.jpg,soya-drink-soy-milk,Soya drink (soy milk)
134428.jpg,crunch-muesli,Crunch Müesli
134432.jpg,hard-cheese,Hard cheese
134432.jpg,bread-white,"Bread, white"
134437.jpg,water,Water
134438.jpg,bread-white,"Bread, white"
134438.jpg,mayonnaise,Mayonnaise
134438.jpg,salmon-smoked,"Salmon, smoked"
134438.jpg,onion,Onion
134441.jpg,pasta-noodles,"Pasta, noodles"
134441.jpg,french-beans,French beans
134441.jpg,sausage,Sausage
134441.jpg,tomato-sauce,Tomato sauce
134444.jpg,meat-balls,Meat balls
134444.jpg,ratatouille,Ratatouille
134444.jpg,baked-potato,Baked potato
134448.jpg,white-coffee-with-caffeine,"White coffee, with caffeine"
134457.jpg,soup-cream-of-vegetables,"Soup, cream of vegetables"
134461.jpg,bread-grain,"Bread, grain"
134462.jpg,apple,Apple
134468.jpg,pasta,Pasta
134468.jpg,chicken,Chicken
134469.jpg,banana,Banana
134476.jpg,water,Water
134478.jpg,mandarine,Mandarine
134483.jpg,coffee-with-caffeine,"Coffee, with caffeine"
134492.jpg,popcorn-salted,Popcorn salted
134512.jpg,braided-white-loaf,Braided white loaf
134512.jpg,jam,Jam
134512.jpg,butter,Butter
134515.jpg,beer,Beer
134517.jpg,carrot-cake,Carrot cake
134533.jpg,mandarine,Mandarine
134543.jpg,chicken,Chicken
134543.jpg,lentils,Lentils
134543.jpg,rice,Rice
134543.jpg,pumpkin,Pumpkin
134546.jpg,orange,Orange
134574.jpg,rice,Rice
134574.jpg,french-beans,French beans
134574.jpg,onion,Onion
134582.jpg,chocolate-filled,"Chocolate, filled"
134583.jpg,milk-chocolate,Milk chocolate
134585.jpg,pear,Pear
134607.jpg,bread-ticino,"Bread, Ticino"
134615.jpg,coffee-with-caffeine,"Coffee, with caffeine"
134629.jpg,water-with-lemon-juice,Water with lemon juice
134634.jpg,bread-white,"Bread, white"
134636.jpg,water,Water
134639.jpg,banana,Banana
134644.jpg,coffee-with-caffeine,"Coffee, with caffeine"
134651.jpg,blueberries,Blueberries
134657.jpg,crunch-muesli,Crunch Müesli
134657.jpg,yaourt-yahourt-yogourt-ou-yoghourt-natural,"Yaourt, yahourt, yogourt ou yoghourt, natural"
134657.jpg,blueberries,Blueberries
134660.jpg,espresso-with-caffeine,"Espresso, with caffeine"
134663.jpg,bread-fruit,"Bread, fruit"
134666.jpg,flakes-oat,"Flakes, oat"
134666.jpg,yaourt-yahourt-yogourt-ou-yoghourt-natural,"Yaourt, yahourt, yogourt ou yoghourt, natural"
134667.jpg,spinach-steamed-without-addition-of-salt,"Spinach, steamed, without addition of salt"
134667.jpg,cauliflower,Cauliflower
134667.jpg,beef-cut-into-stripes-only-meat,"Beef, cut into stripes (only meat)"
134669.jpg,cauliflower,Cauliflower
134669.jpg,vegetable-mix-peas-and-carrots,"Vegetable mix, peas and carrots"
134669.jpg,corn,Corn
134678.jpg,tete-de-moine,Tête de Moine
134682.jpg,pasta,Pasta
134682.jpg,bacon,Bacon
134684.jpg,tuna,Tuna
134684.jpg,egg,Egg
134684.jpg,bell-pepper-red-raw,"Bell pepper, red, raw "
134684.jpg,onion,Onion
134684.jpg,bread-white,"Bread, white"
134685.jpg,tea-black,"Tea, black"
134692.jpg,bread-wholemeal-toast,"Bread, wholemeal toast"
134692.jpg,jam,Jam
134692.jpg,tete-de-moine,Tête de Moine
134693.jpg,tete-de-moine,Tête de Moine
134731.jpg,mandarine,Mandarine
134732.jpg,mandarine,Mandarine
134734.jpg,mandarine,Mandarine
134736.jpg,mandarine,Mandarine
134764.jpg,pasta-ravioli-stuffing,"Pasta, ravioli, stuffing"
134764.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
134764.jpg,tomato-raw,"Tomato, raw "
134765.jpg,water,Water
134778.jpg,salmon,Salmon
134778.jpg,white-radish,White radish
134778.jpg,zucchini-stewed-without-addition-of-fat-without-addition-of-salt,"Zucchini, stewed, without addition of fat, without addition of salt"
134817.jpg,pasta,Pasta
134817.jpg,sauce-pesto,"Sauce, pesto"
134817.jpg,parmesan,Parmesan
134821.jpg,bread-white,"Bread, white"
134822.jpg,water,Water
134835.jpg,orange,Orange
134837.jpg,celery,Celery
134837.jpg,mandarine,Mandarine
134837.jpg,cucumber,Cucumber
134846.jpg,coffee-with-caffeine,"Coffee, with caffeine"
134846.jpg,soya-drink-soy-milk,Soya drink (soy milk)
134857.jpg,banana,Banana
134861.jpg,oat-milk,Oat milk
134878.jpg,hummus,Hummus
134878.jpg,carrot-raw,"Carrot, raw"
134880.jpg,soup-potato,"Soup, potato"
134888.jpg,hummus,Hummus
