ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
"Asian stir fry vegetables, cooked, no added fat",1 cup,127.0,36.0,9.93,1.04,0.3,18.0,2.07,141.0,226.0,36.3,0.0
"Asparagus, NS as to form, cooked",Quantity not specified,93.0,25.0,4.04,2.23,2.86,15.0,2.3,132.0,50.0,5.0,0.0
"Asparagus, canned, cooked with butter or margarine",1 cup,245.0,16.0,2.4,1.78,2.82,10.0,2.09,296.0,63.0,16.1,0.1
"Asparagus, canned, cooked with oil",1 cup,245.0,16.0,2.39,1.78,3.54,10.0,2.08,279.0,40.0,16.1,0.0
"Asparagus, canned, cooked, fat added, NS as to fat type",Quantity not specified,123.0,16.0,2.39,1.78,3.18,10.0,2.09,287.0,51.0,16.1,0.0
"Asparagus, canned, cooked, no added fat",Quantity not specified,120.0,16.0,2.46,1.83,0.65,10.0,2.14,287.0,41.0,16.6,0.0
"Asparagus, fresh, cooked with butter or margarine",1 spear,16.0,26.0,4.05,2.23,2.48,15.0,2.31,141.0,62.0,5.0,0.1
"Asparagus, fresh, cooked with oil",1 piece,4.0,25.0,4.04,2.23,3.25,15.0,2.29,123.0,38.0,5.0,0.0
"Asparagus, fresh, cooked, fat added, NS as to fat type",1 cup,185.0,25.0,4.04,2.23,2.86,15.0,2.3,132.0,50.0,5.0,0.0
"Asparagus, fresh, cooked, no added fat",1 piece,4.0,26.0,4.16,2.29,0.13,15.0,2.36,127.0,39.0,5.1,0.0
"Asparagus, frozen, cooked with butter or margarine",1 cup,185.0,18.0,1.87,0.54,2.59,10.0,2.87,132.0,61.0,23.6,0.0
"Asparagus, frozen, cooked with oil",1 piece,4.0,18.0,1.86,0.55,3.31,10.0,2.86,115.0,39.0,23.6,0.0
"Asparagus, frozen, cooked, fat added, NS as to fat type",1 spear,16.0,18.0,1.86,0.55,2.95,10.0,2.86,124.0,50.0,23.6,0.0
"Asparagus, frozen, cooked, no added fat",1 piece,4.0,18.0,1.91,0.56,0.42,10.0,2.94,119.0,40.0,24.3,0.0
"Asparagus, raw",Quantity not specified,68.0,24.0,3.88,2.14,0.12,14.0,2.2,2.0,38.0,5.6,0.0
Atole,Quantity not specified,248.0,59.0,16.28,0.17,1.54,9.0,1.69,18.0,14.0,0.0,0.5
Atole de avena,1 fl oz,31.0,56.0,15.46,0.1,1.58,9.0,1.74,18.0,14.0,0.0,0.5
Atole de chocolate,1 cup,248.0,59.0,20.3,0.3,1.78,10.0,1.8,30.0,13.0,0.4,0.6
Avocado dressing,1 tablespoon,15.3,34.0,7.36,0.35,43.33,7.0,1.9,867.0,10.0,0.2,0.0
"Avocado, for use on a sandwich",Guideline amount on large sandwich,45.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0
"Avocado, raw",1 fruit,150.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0
"Baby Toddler apples, Stage 1",Quantity not specified,110.0,4.0,10.8,0.22,0.2,3.0,0.2,0.0,1.0,38.3,0.0
"Baby Toddler apples, Stage 2",1 tub,110.0,5.0,10.3,0.22,0.0,3.0,0.0,1.0,0.0,37.8,0.0
"Baby Toddler bananas, Stage 1",1 tub,70.0,4.0,21.34,0.3,0.2,26.0,1.0,2.0,0.0,21.9,0.0
"Baby Toddler bananas, Stage 2",1 pouch,110.0,4.0,21.34,0.3,0.2,26.0,1.0,2.0,0.0,21.9,0.0
Baby Toddler bar,1 bar,20.0,1053.0,68.63,13.16,5.3,19.0,5.43,157.0,14.0,2.4,0.0
Baby Toddler beef,1 tablespoon,15.0,5.0,2.43,0.98,2.52,11.0,12.03,41.0,0.0,2.1,0.4
Baby Toddler beets,1 jar,110.0,14.0,7.7,0.32,0.1,14.0,1.3,83.0,1.0,2.4,0.0
Baby Toddler biscuit,Quantity not specified,7.0,320.0,80.53,4.72,2.97,51.0,11.37,300.0,7.0,2.3,0.1
"Baby Toddler carrots, Stage 1",1 tub,70.0,22.0,6.0,0.37,0.1,9.0,0.8,69.0,573.0,5.7,0.0
"Baby Toddler carrots, Stage 2",1 tub,110.0,23.0,7.2,0.39,0.2,11.0,0.8,49.0,591.0,5.5,0.0
"Baby Toddler cereal, NFS",1 pouch,110.0,39.0,18.4,2.29,0.96,22.0,1.92,2.0,1.0,9.6,0.3
"Baby Toddler cereal, barley, dry",1 tablespoon,3.8,643.0,69.4,48.21,6.6,115.0,13.2,33.0,0.0,58.3,7.1
"Baby Toddler cereal, multigrain with fruit, dry",Quantity not specified,15.0,761.0,80.47,28.56,6.43,96.0,6.53,32.0,1.0,55.7,0.0
"Baby Toddler cereal, multigrain with fruit, ready-to-eat",1 pouch,110.0,26.0,19.24,1.14,0.68,16.0,1.46,2.0,1.0,9.6,0.0
"Baby Toddler cereal, multigrain, dry",Quantity not specified,15.0,800.0,80.06,30.0,6.67,95.0,6.67,33.0,0.0,58.3,0.0
"Baby Toddler cereal, multigrain, ready-to-eat",1 jar / tub,110.0,37.0,15.0,1.56,0.89,17.0,1.87,2.0,0.0,2.3,0.0
"Baby Toddler cereal, oatmeal with fruit, dry",1 tablespoon,3.8,1103.0,74.22,60.95,6.13,110.0,10.64,20.0,1.0,55.7,12.1
"Baby Toddler cereal, oatmeal with fruit, ready-to-eat",1 pouch,110.0,39.0,18.4,2.29,0.96,22.0,1.92,2.0,1.0,9.6,0.3
"Baby Toddler cereal, oatmeal, dry",Quantity not specified,15.0,1160.0,73.48,64.1,6.36,110.0,10.99,21.0,0.0,58.3,12.7
"Baby Toddler cereal, oatmeal, ready-to-eat",1 pouch,110.0,55.0,13.77,3.24,1.3,26.0,2.54,2.0,0.0,2.3,0.5
"Baby Toddler cereal, rice with fruit, dry",Quantity not specified,15.0,818.0,83.4,50.42,2.17,41.0,6.51,31.0,1.0,55.7,8.1
"Baby Toddler cereal, rice with fruit, ready-to-eat",1 pouch,110.0,25.0,19.98,1.54,0.27,8.0,1.12,2.0,1.0,9.6,0.2
"Baby Toddler cereal, rice, dry",Quantity not specified,15.0,860.0,83.14,53.01,2.19,37.0,6.65,32.0,0.0,58.3,8.5
"Baby Toddler cereal, rice, ready-to-eat",1 pouch,110.0,35.0,16.09,2.16,0.3,5.0,1.38,2.0,0.0,2.3,0.3
Baby Toddler chicken,1 tablespoon,15.0,64.0,0.1,1.4,7.9,13.0,13.7,49.0,6.0,1.7,0.3
Baby Toddler cookie,Quantity not specified,7.0,690.0,69.79,11.52,11.24,56.0,9.88,280.0,17.0,8.0,0.2
Baby Toddler crackers,1 cracker,1.0,0.0,83.21,0.0,0.87,47.0,12.5,313.0,0.0,0.0,0.0
Baby Toddler crunchies,Quantity not specified,7.0,342.0,69.14,14.45,19.24,48.0,3.2,250.0,20.0,5.0,0.0
"Baby Toddler food, NFS",Quantity not specified,110.0,23.0,9.08,0.62,2.15,14.0,4.9,27.0,80.0,12.4,0.2
Baby Toddler fruit and meat,Quantity not specified,110.0,10.0,16.44,0.48,0.99,19.0,2.26,6.0,4.0,25.6,0.0
"Baby Toddler fruit and vegetables, Stage 2",1 jar,110.0,12.0,13.69,0.35,0.23,15.0,0.98,14.0,96.0,20.0,0.0
"Baby Toddler fruit and vegetables, Stage 3",1 pouch,110.0,12.0,13.69,0.35,0.23,15.0,0.98,14.0,96.0,20.0,0.0
"Baby Toddler fruit and vegetables, with grain",1 jar,110.0,23.0,15.31,0.79,0.48,20.0,1.48,16.0,114.0,17.5,0.0
"Baby Toddler fruit and vegetables, with yogurt",1 tub,110.0,57.0,11.29,0.23,1.84,13.0,2.1,26.0,90.0,11.0,0.5
"Baby Toddler fruit, NFS",1 tablespoon,15.0,4.0,16.44,0.26,0.21,15.0,0.68,2.0,4.0,29.5,0.0
"Baby Toddler fruit, vegetables, and meat",Quantity not specified,110.0,26.0,14.14,0.86,1.06,19.0,2.63,19.0,103.0,16.0,0.0
"Baby Toddler fruit, with grain",1 jar,110.0,6.0,17.96,0.4,0.41,19.0,1.07,2.0,4.0,28.3,0.0
"Baby Toddler fruit, with yogurt",1 pouch,110.0,51.0,13.36,0.17,1.83,14.0,1.87,17.0,21.0,18.1,0.5
"Baby Toddler green beans, Stage 1",1 pouch,90.0,65.0,5.8,1.08,0.1,22.0,1.2,5.0,24.0,8.4,0.0
"Baby Toddler green beans, Stage 2",1 jar,110.0,65.0,5.8,1.08,0.1,22.0,1.2,5.0,24.0,8.4,0.0
Baby Toddler ham,Quantity not specified,70.0,6.0,3.7,1.03,3.8,13.0,11.3,44.0,2.0,2.1,0.4
"Baby Toddler juice, NFS",Quantity not specified,124.0,4.0,11.7,0.57,0.1,3.0,0.0,8.0,1.0,33.8,0.0
"Baby Toddler juice, apple",1 fl oz,31.0,4.0,11.7,0.57,0.1,3.0,0.0,8.0,1.0,33.8,0.0
"Baby Toddler juice, fruit and vegetable",Quantity not specified,124.0,15.0,11.4,0.3,0.1,7.0,0.3,5.0,154.0,34.1,0.0
"Baby Toddler juice, fruit and yogurt blend",Quantity not specified,124.0,41.0,12.7,0.22,1.48,13.0,1.56,14.0,17.0,21.2,0.4
"Baby Toddler juice, grape",Quantity not specified,124.0,12.0,15.38,0.3,0.0,10.0,0.0,10.0,4.0,33.8,0.0
"Baby Toddler juice, mixed fruit",Quantity not specified,124.0,4.0,11.7,0.57,0.1,3.0,0.0,8.0,1.0,33.8,0.0
"Baby Toddler juice, pear",Quantity not specified,124.0,12.0,11.86,0.0,0.0,8.0,0.0,8.0,0.0,33.8,0.0
Baby Toddler mangoes,1 tub,70.0,10.0,14.98,0.16,0.38,10.0,0.82,1.0,40.0,18.2,0.0
Baby Toddler meat stick,1 jar,70.0,83.0,1.4,0.92,14.2,10.0,13.7,295.0,6.0,1.5,0.4
"Baby Toddler meat, NFS",1 jar,70.0,41.0,1.25,1.1,5.99,12.0,12.58,47.0,3.0,1.9,0.5
"Baby Toddler multiple fruit, Stage 2",Quantity not specified,110.0,4.0,16.44,0.26,0.21,15.0,0.68,2.0,4.0,29.5,0.0
"Baby Toddler multiple fruit, Stage 3",1 tub,140.0,4.0,16.44,0.26,0.21,15.0,0.68,2.0,4.0,29.5,0.0
"Baby Toddler multiple vegetables, Stage 2",1 tub,110.0,24.0,9.56,0.48,0.25,15.0,1.44,32.0,234.0,5.8,0.0
"Baby Toddler multiple vegetables, Stage 3",1 tub,140.0,24.0,9.56,0.48,0.25,15.0,1.44,32.0,234.0,5.8,0.0
"Baby Toddler peaches, Stage 1",1 tablespoon,15.0,4.0,14.48,0.23,0.33,7.0,0.94,4.0,34.0,46.1,0.0
"Baby Toddler peaches, Stage 2",1 tub,110.0,4.0,14.48,0.23,0.33,7.0,0.94,4.0,34.0,46.1,0.0
"Baby Toddler pears, Stage 1",1 tub,70.0,8.0,10.8,0.24,0.2,8.0,0.3,1.0,1.0,24.5,0.0
"Baby Toddler pears, Stage 2",1 pouch,110.0,8.0,11.6,0.25,0.1,9.0,0.3,1.0,1.0,22.0,0.0
"Baby Toddler peas, Stage 1",1 pouch,90.0,18.0,8.36,0.95,0.43,17.0,3.27,5.0,11.0,0.6,0.0
"Baby Toddler peas, Stage 2",1 tablespoon,15.0,18.0,8.36,0.95,0.43,17.0,3.27,5.0,11.0,0.6,0.0
Baby Toddler prunes,1 tub,70.0,21.0,23.52,0.4,0.2,17.0,1.0,1.0,3.0,1.3,0.0
Baby Toddler pudding,1 tub,110.0,54.0,17.58,0.22,0.98,5.0,1.76,26.0,13.0,0.4,0.5
"Baby Toddler puffs, fruit",Quantity not specified,7.0,535.0,85.79,24.74,2.3,60.0,6.19,13.0,1.0,1.3,0.0
"Baby Toddler puffs, vegetable",Quantity not specified,7.0,535.0,85.79,24.74,2.3,60.0,6.19,13.0,1.0,1.3,0.0
"Baby Toddler snack, NFS",1 piece,1.0,518.0,83.4,20.42,3.29,58.0,7.34,83.0,4.0,2.1,0.0
"Baby Toddler squash, Stage 1",1 tub,70.0,24.0,5.73,0.32,0.2,14.0,0.81,5.0,85.0,0.3,0.0
"Baby Toddler squash, Stage 2",1 tub,110.0,24.0,5.73,0.32,0.2,14.0,0.81,5.0,85.0,0.3,0.0
"Baby Toddler sweet potatoes, Stage 1",Quantity not specified,110.0,16.0,13.2,0.37,0.1,13.0,1.1,22.0,322.0,9.9,0.0
"Baby Toddler sweet potatoes, Stage 2",1 tub,110.0,16.0,14.0,0.39,0.1,12.0,1.1,18.0,332.0,9.6,0.0
Baby Toddler turkey,1 tablespoon,15.0,41.0,1.4,0.7,6.2,12.0,11.5,49.0,0.0,2.2,0.8
"Baby Toddler vegetable, NFS",1 pouch,110.0,24.0,9.56,0.48,0.25,15.0,1.44,32.0,234.0,5.8,0.0
Baby Toddler vegetables and meat,1 jar,110.0,34.0,11.18,0.95,1.08,19.0,2.95,32.0,202.0,5.8,0.0
"Baby Toddler vegetables, with grain",1 pouch,110.0,33.0,12.01,0.89,0.5,20.0,1.84,31.0,225.0,6.2,0.0
Baby Toddler wheels,1 piece,2.0,57.0,78.89,1.28,6.41,51.0,10.0,350.0,8.0,0.0,0.0
Baby Toddler yogurt melts,1 piece,0.5,457.0,71.82,0.0,4.0,53.0,14.29,286.0,107.0,57.1,0.1
"Baby Toddler yogurt, plain",Quantity not specified,110.0,127.0,5.57,0.0,4.48,11.0,3.82,42.0,48.0,0.5,1.2
"Baby Toddler yogurt, with fruit",1 container,110.0,116.0,11.9,0.05,4.04,10.0,3.48,41.0,43.0,1.3,1.2
Bacalaitos fritos,Quantity not specified,85.0,105.0,36.1,2.87,8.63,26.0,14.43,233.0,1.0,0.0,0.3
Bacon and tomato dressing,Quantity not specified,30.0,4.0,2.0,0.27,35.0,6.0,1.8,905.0,11.0,8.8,0.0
Bacon biscuit sandwich,1 regular,105.0,224.0,29.26,2.03,23.2,20.0,13.71,1090.0,66.0,0.0,0.8
Bacon bits,1 tablespoon,7.0,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0
"Bacon or side pork, fresh, cooked",Guideline amount if topping,8.0,11.0,1.7,0.95,35.09,31.0,33.92,1684.0,11.0,0.0,0.4
"Bacon strip, meatless",1 strip,5.0,23.0,5.31,2.41,29.52,19.0,11.69,1465.0,4.0,0.0,0.0
"Bacon, NS as to type of meat, cooked",Guideline amount on regular sandwich,16.0,12.0,1.9,1.12,35.8,34.0,37.41,1757.0,11.0,0.0,0.4
"Bacon, NS as to type of meat, reduced sodium, cooked",Quantity not specified,16.0,10.0,4.8,0.72,20.0,19.0,13.33,900.0,8.0,24.0,0.2
"Bacon, for use on a sandwich",Guideline amount on large sandwich,24.0,13.0,2.01,1.21,36.19,35.0,39.36,1798.0,11.0,0.0,0.4
"Bacon, for use with vegetables",Guideline amount per cup of vegetable,8.0,11.0,1.7,0.95,35.09,31.0,33.92,1684.0,11.0,0.0,0.4
"Bacon, lettuce, tomato sandwich on wheat",Quantity not specified,105.0,99.0,27.53,2.03,7.76,40.0,12.02,515.0,31.0,3.8,0.1
"Bacon, lettuce, tomato sandwich on white",Quantity not specified,105.0,128.0,29.71,2.15,7.54,23.0,10.89,521.0,31.0,3.7,0.1
Bagel,1 large,131.0,70.0,52.38,3.57,1.32,29.0,10.56,422.0,0.0,0.0,0.0
Bagel chips,Quantity not specified,18.0,24.0,66.36,5.05,15.14,39.0,12.34,233.0,0.0,0.0,0.0
"Bagel, multigrain",1 miniature,26.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
"Bagel, multigrain, with raisins",1 small,69.0,100.0,51.93,2.66,1.4,50.0,9.51,398.0,0.0,0.2,0.0
"Bagel, oat bran",1 miniature,26.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
"Bagel, pumpernickel",1 large,131.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
"Bagel, wheat",1 Bagel Thin,46.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
"Bagel, wheat bran",1 small,69.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
"Bagel, wheat, with fruit and nuts",Quantity not specified,105.0,98.0,50.78,2.62,2.77,51.0,9.52,389.0,0.0,0.2,0.0
"Bagel, wheat, with raisins",Quantity not specified,105.0,100.0,51.93,2.66,1.4,50.0,9.51,398.0,0.0,0.2,0.0
"Bagel, whole grain white",1 small,69.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
"Bagel, whole wheat",1 Bagel Thin,46.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0
"Bagel, whole wheat, with raisins",1 miniature,26.0,100.0,51.93,2.66,1.4,50.0,9.51,398.0,0.0,0.2,0.0
"Bagel, with fruit other than raisins",1 large,131.0,64.0,48.36,3.23,1.25,27.0,9.55,380.0,0.0,0.2,0.0
"Bagel, with raisins",1 Bagel Thin,46.0,69.0,55.07,3.39,1.21,30.0,9.83,382.0,0.0,0.2,0.0
Baked beans,Quantity not specified,130.0,39.0,21.57,1.4,0.89,30.0,4.52,391.0,1.0,0.0,0.0
Baked beans from fast food / restaurant,Quantity not specified,130.0,38.0,23.29,1.36,1.35,29.0,4.38,491.0,1.0,0.0,0.0
"Baked beans, reduced sodium",1 cup,260.0,50.0,20.35,0.29,0.4,32.0,4.77,270.0,5.0,2.9,0.0
"Baked beans, vegetarian",Quantity not specified,130.0,34.0,21.14,1.19,0.37,27.0,4.75,343.0,5.0,0.0,0.0
Baklava,1 cubic inch,13.0,40.0,37.55,1.98,29.34,38.0,6.58,311.0,157.0,1.3,0.1
"Bamboo shoots, cooked",1 cup,155.0,8.0,3.13,0.31,2.94,4.0,1.68,15.0,12.0,1.0,0.0
Banana chips,Quantity not specified,40.0,18.0,58.4,1.25,33.6,76.0,2.3,6.0,4.0,6.3,0.0
Banana nectar,1 fl oz (NFS),31.0,4.0,18.01,0.0,0.13,10.0,0.26,2.0,0.0,4.3,0.0
Banana pudding,Quantity not specified,130.0,41.0,28.0,0.42,4.26,13.0,2.57,128.0,20.0,3.2,0.3
Banana split,1 banana split,490.0,74.0,32.59,0.17,6.88,18.0,2.42,97.0,66.0,4.5,0.1
"Banana, baked",1 banana,140.0,13.0,32.43,0.06,3.21,30.0,0.82,3.0,28.0,10.4,0.0
"Banana, raw",Quantity not specified,126.0,5.0,22.71,0.0,0.28,28.0,0.74,0.0,1.0,12.0,0.0
Bao bun,Quantity not specified,100.0,140.0,39.78,2.86,7.58,20.0,11.17,354.0,0.0,0.2,0.2
